Dark Chocolate Bar,HERSHEY'S Special Dark Chocolate Candy Bars- 1.45 Ounce,B000IXSMI6,8,4,true
Bananas,Bananas - One Bunch (min. 5 ct),B000NOGLY2,3,5,false
Salsa,Newman's Own Salsa- Medium Chunky- 16 Oz,B000PYE2H8,1,1,true
Peanuts,Planters Lightly Salted Peanuts,B000R93K5Q,2,1,true
Ground Turkey,Jennie-O Lean Ground Turkey 16 Ounce (1 pound),B0016L8JLY,1,1,true
Milk,DairyPure 2% Reduced Fat Milk - 1 Gallon,B00CIJAE0C,1,1,true
SmartWater,smartwater vapor distilled premium water bottles,B00HZYFK72,2,6,true
Tortilla Chips,Santitas Tortilla Chips- White Corn- 11 Ounce,B00N0WZSOS,0,1,false
Eggs,365 Everyday Value_ Cage-Free Non-GMO Large Brown Grade A Eggs_ 12 ct,B074H5HJ32,4,12,true
Shredded Cheese,Amazon Brand - Happy Belly Shredded Mexican Four Cheese Blend,B075Y8ZV89,1,1,false
